Granja,Galpón,Sexo,Día,Cosechado (1/0)
EL BRILLANTE,5,H,6,0
EL BRILLANTE,6,M,1,1
EL BRILLANTE,6,M,2,0
EL BRILLANTE,6,M,3,0
EL BRILLANTE,6,M,4,0
EL BRILLANTE,6,M,5,0
EL BRILLANTE,6,M,6,0
EL BRILLANTE,7,M,1,0
EL BRILLANTE,7,M,2,0
EL BRILLANTE,7,M,3,0
EL BRILLANTE,7,M,4,0
EL BRILLANTE,7,M,5,0
EL BRILLANTE,7,M,6,0
EL BRILLANTE,8,H,1,0
EL BRILLANTE,8,H,2,0
EL BRILLANTE,8,H,3,0
EL BRILLANTE,8,H,4,0
EL BRILLANTE,8,H,5,0
EL BRILLANTE,8,H,6,0
EL BRILLANTE,9,M,1,0
EL BRILLANTE,9,M,2,0
EL BRILLANTE,9,M,3,0
EL BRILLANTE,9,M,4,0
EL BRILLANTE,9,M,5,0
EL BRILLANTE,9,M,6,0
EL BRILLANTE,9,H,1,0
EL BRILLANTE,9,H,2,0
EL BRILLANTE,9,H,3,0
EL BRILLANTE,9,H,4,0
EL BRILLANTE,9,H,5,0
EL BRILLANTE,9,H,6,0
NATIBAL,1,M,1,0
NATIBAL,1,M,2,0
NATIBAL,1,M,3,0
NATIBAL,1,M,4,0
NATIBAL,1,M,5,0
NATIBAL,1,M,6,1
NATIBAL,2,H,1,0
NATIBAL,2,H,2,0
NATIBAL,2,H,3,0
NATIBAL,2,H,4,0
NATIBAL,2,H,5,0
NATIBAL,2,H,6,1
NATIBAL,3,M,1,0
NATIBAL,3,M,2,0
NATIBAL,3,M,3,0
NATIBAL,3,M,4,0
NATIBAL,3,M,5,0
NATIBAL,3,M,6,1
NATIBAL,3,H,1,0
NATIBAL,3,H,2,0
NATIBAL,3,H,3,0
NATIBAL,3,H,4,0
NATIBAL,3,H,5,0
NATIBAL,3,H,6,0
NATIBAL,4,M,1,0
NATIBAL,4,M,2,0
NATIBAL,4,M,3,0
NATIBAL,4,M,4,1
NATIBAL,4,M,5,0
NATIBAL,4,M,6,0
NATIBAL,5,H,1,0
NATIBAL,5,H,2,0
NATIBAL,5,H,3,0
NATIBAL,5,H,4,0
NATIBAL,5,H,5,0
NATIBAL,5,H,6,1
SARAMARTINA,1,M,1,0
SARAMARTINA,1,M,2,0
SARAMARTINA,1,M,3,0
SARAMARTINA,1,M,4,0
SARAMARTINA,1,M,5,0
SARAMARTINA,1,M,6,0
SARAMARTINA,1,H,1,0
SARAMARTINA,1,H,2,0
SARAMARTINA,1,H,3,0
SARAMARTINA,1,H,4,0
SARAMARTINA,1,H,5,0
SARAMARTINA,1,H,6,0
SARAMARTINA,2,M,1,0
SARAMARTINA,2,M,2,0
SARAMARTINA,2,M,3,0
SARAMARTINA,2,M,4,0
SARAMARTINA,2,M,5,0
SARAMARTINA,2,M,6,0
SARAMARTINA,2,H,1,0
SARAMARTINA,2,H,2,0
SARAMARTINA,2,H,3,0
SARAMARTINA,2,H,4,0
SARAMARTINA,2,H,5,0
SARAMARTINA,2,H,6,0
SARAMARTINA,3,M,1,0
SARAMARTINA,3,M,2,0
SARAMARTINA,3,M,3,0
SARAMARTINA,3,M,4,0
SARAMARTINA,3,M,5,0
SARAMARTINA,3,M,6,0
SARAMARTINA,3,H,1,0
SARAMARTINA,3,H,2,0
SARAMARTINA,3,H,3,0
SARAMARTINA,3,H,4,0
SARAMARTINA,3,H,5,0
SARAMARTINA,3,H,6,0
GIRASOL,7,M,1,0
GIRASOL,7,M,2,0
GIRASOL,7,M,3,0
GIRASOL,7,M,4,0
GIRASOL,7,M,5,0
GIRASOL,7,M,6,0
GIRASOL,7,H,1,0
GIRASOL,7,H,2,0
GIRASOL,7,H,3,0
GIRASOL,7,H,4,0
GIRASOL,7,H,5,0
GIRASOL,7,H,6,0
GIRASOL,8,M,1,0
GIRASOL,8,M,2,0
GIRASOL,8,M,3,0
GIRASOL,8,M,4,0
GIRASOL,8,M,5,0
GIRASOL,8,M,6,0
GIRASOL,8,H,1,0
GIRASOL,8,H,2,0
GIRASOL,8,H,3,0
GIRASOL,8,H,4,0
GIRASOL,8,H,5,0
GIRASOL,8,H,6,0
CORASU,1,M,1,0
CORASU,1,M,2,0
CORASU,1,M,3,0
CORASU,1,M,4,0
CORASU,1,M,5,0
CORASU,1,M,6,0
CORASU,1,H,1,0
CORASU,1,H,2,0
CORASU,1,H,3,0
CORASU,1,H,4,0
CORASU,1,H,5,0
CORASU,1,H,6,0
CORASU,2,M,1,0
CORASU,2,M,2,0
CORASU,2,M,3,0
CORASU,2,M,4,0
CORASU,2,M,5,0
CORASU,2,M,6,0
CORASU,2,H,1,0
CORASU,2,H,2,0
CORASU,2,H,3,0
CORASU,2,H,4,0
CORASU,2,H,5,0
CORASU,2,H,6,0
LA BENDICION,1,M,1,0
LA BENDICION,1,M,2,0
LA BENDICION,1,M,3,0
LA BENDICION,1,M,4,0
LA BENDICION,1,M,5,0
LA BENDICION,1,M,6,1
LA BENDICION,1,H,1,0
LA BENDICION,1,H,2,0
LA BENDICION,1,H,3,0
LA BENDICION,1,H,4,0
LA BENDICION,1,H,5,0
LA BENDICION,1,H,6,0
LA BENDICION,2,M,1,0
LA BENDICION,2,M,2,0
LA BENDICION,2,M,3,0
LA BENDICION,2,M,4,0
LA BENDICION,2,M,5,0
LA BENDICION,2,M,6,0
LA BENDICION,2,H,1,0
LA BENDICION,2,H,2,0
LA BENDICION,2,H,3,1
LA BENDICION,2,H,4,0
LA BENDICION,2,H,5,0
LA BENDICION,2,H,6,0
EL JARDIN,1,H,1,0
EL JARDIN,1,H,2,0
EL JARDIN,1,H,3,0
EL JARDIN,1,H,4,0
EL JARDIN,1,H,5,0
EL JARDIN,1,H,6,0
EL JARDIN,2,M,1,0
EL JARDIN,2,M,2,0
EL JARDIN,2,M,3,1
EL JARDIN,2,M,4,0
EL JARDIN,2,M,5,0
EL JARDIN,2,M,6,0
EL JARDIN,2,H,1,0
EL JARDIN,2,H,2,0
EL JARDIN,2,H,3,0
EL JARDIN,2,H,4,0
EL JARDIN,2,H,5,0
EL JARDIN,2,H,6,0
EL JARDIN,3,M,1,0
EL JARDIN,3,M,2,0
EL JARDIN,3,M,3,0
EL JARDIN,3,M,4,0
EL JARDIN,3,M,5,0
EL JARDIN,3,M,6,1
EL JARDIN,3,H,1,0
EL JARDIN,3,H,2,0
EL JARDIN,3,H,3,0
EL JARDIN,3,H,4,0
EL JARDIN,3,H,5,0
EL JARDIN,3,H,6,0
EL JARDIN,4,H,1,0
EL JARDIN,4,H,2,0
EL JARDIN,4,H,3,0
EL JARDIN,4,H,4,0
EL JARDIN,4,H,5,0
EL JARDIN,4,H,6,0
EL JARDIN,5,H,1,0
EL JARDIN,5,H,2,0
EL JARDIN,5,H,3,0
EL JARDIN,5,H,4,0
EL JARDIN,5,H,5,0
EL JARDIN,5,H,6,0
EL JARDIN,6,H,1,0
EL JARDIN,6,H,2,0
EL JARDIN,6,H,3,0
EL JARDIN,6,H,4,0
EL JARDIN,6,H,5,1
EL JARDIN,6,H,6,0
EL JARDIN,7,M,1,0
EL JARDIN,7,M,2,0
EL JARDIN,7,M,3,0
EL JARDIN,7,M,4,0
EL JARDIN,7,M,5,1
EL JARDIN,7,M,6,0
EL JARDIN,8,H,1,0
EL JARDIN,8,H,2,0
EL JARDIN,8,H,3,0
EL JARDIN,8,H,4,0
EL JARDIN,8,H,5,0
EL JARDIN,8,H,6,0
EL JARDIN,9,M,1,1
EL JARDIN,9,M,2,0
EL JARDIN,9,M,3,0
EL JARDIN,9,M,4,0
